sensor-left,sensor-front,sensor-right,speed
sensor-left,sensor-front,sensor-right,speed
6.961505,20.12592,4.535314,18.51203
7.051283,20.3043,4.469031,18.4352
7.155616,20.42597,4.411963,18.35863
7.181865,20.45849,4.33262,18.28034
7.233398,20.31458,4.258162,18.20096
7.304936,20.08935,4.21806,18.12122
7.318789,19.78757,4.162017,18.04161
7.311125,19.41632,4.129516,17.96243
7.31622,18.98422,4.130744,17.88388
7.331926,18.50022,4.121784,17.80608
7.291125,17.97299,4.162275,17.72909
7.228966,17.45525,4.218591,17.64542
7.181208,16.99939,4.260733,17.55119
7.150998,16.64927,4.360735,17.44229
7.087556,16.44004,4.444804,17.31842
6.992972,16.40042,4.504345,17.18198
6.955791,16.45285,4.552276,17.1111
6.904715,16.72082,4.645127,16.95707
6.853539,17.24466,4.709754,16.79777
6.753405,18.11112,4.746744,16.64473
6.696993,19.43969,4.800396,16.51441
6.685476,21.3357,4.848066,16.41591
6.612042,23.90267,4.878314,16.3399
6.554778,27.26569,4.895003,16.27463
6.532346,31.5475,4.925785,16.21266
6.523644,56.91026,4.98597,16.16685
6.435282,55.06816,5.040395,16.14928
6.366985,53.42633,5.088029,16.16287
6.314452,51.88669,5.150129,16.20824
6.274365,50.54662,5.222014,16.28522
6.210397,49.25748,5.288268,16.39372
6.139334,48.05161,5.349345,16.53196
6.078284,46.869,5.401865,16.69459
6.052446,46.24674,5.423423,16.77829
6.013795,44.82511,5.452992,16.94467
5.995682,42.98989,5.463426,17.09767
5.998717,41.07267,5.457882,17.2754
6.021232,38.90962,5.440001,17.46922
6.060926,36.95306,5.411435,17.66811
6.11341,34.96387,5.373748,17.86565
6.177132,33.27265,5.326282,18.06202
6.251078,31.75153,5.26883,18.25745
6.291482,30.96429,5.236506,18.35479
6.413579,29.11114,5.131332,18.63922
6.452575,28.65833,5.094579,18.7297
6.520062,28.09734,5.022991,18.89356
6.570156,28.00963,4.957964,19.04334
6.606233,28.14582,4.902064,19.21576
6.633688,28.26752,4.856015,19.40251
6.655835,28.40466,4.819584,19.59262
6.675339,28.40718,4.790844,19.77986
6.691212,28.15151,4.769279,19.96707
6.702637,27.81331,4.754464,20.15426
6.709699,27.40166,4.745603,20.34098
6.712659,26.92486,4.741978,20.52703
6.711737,26.39032,4.743042,20.71232
6.709849,26.10347,4.745217,20.80467
6.703266,25.49434,4.75267,20.98876
6.69297,24.84234,4.764081,21.17206
6.679049,24.11454,4.779235,21.35457
6.661658,23.35796,4.797886,21.5363
6.640985,22.57647,4.819793,21.71726
6.614136,21.82594,4.848508,21.89296
6.576899,21.17565,4.88979,22.05493
6.525704,20.67519,4.949733,22.20115
6.457863,20.36118,5.034815,22.28817
6.371922,20.26382,5.151464,22.28203
6.321723,20.23773,5.223911,22.27888
6.205941,20.24915,5.395437,22.27208
6.068483,20.49739,5.547977,22.26562
5.907712,20.77318,5.758564,22.26004
5.726562,21.24357,6.01708,22.25765
5.55465,21.716,6.20023,22.24587
5.238682,22.65205,6.629622,22.22932
5.010925,23.41359,6.854415,22.22136
4.801417,24.08898,7.170618,22.21373
4.547705,24.79044,7.481556,22.20281
4.296401,25.61688,7.76494,22.15843
4.085888,26.69075,8.06154,22.10383
3.827229,58.1426,8.268389,22.02102
3.577418,58.61298,8.517211,21.92513
3.403044,59.1853,8.643095,21.81155
3.239038,59.86231,8.725001,21.68935
3.12987,60.38443,8.534008,21.56892
2.978276,60.88698,8.064804,21.45326
3.100075,0,7.91581,21.35695
2.552133,0,7.990253,21.2568
2.740757,0,8.014915,21.15651
2.606651,0,7.930515,21.05983
2.546077,0,7.950354,20.96331
2.496295,0,8.025288,20.87032
2.5164,25.66201,8.020239,20.7816
2.55943,24.55669,8.014978,20.68717
2.654094,23.78316,7.981454,20.58477
2.776907,23.38647,7.874757,20.46242
2.916083,23.27123,7.812423,20.32335
3.086552,23.66606,7.858846,20.15512
2.889225,24.66542,7.933316,19.98
3.048555,26.25338,8.070938,19.82471
3.1609,28.55348,8.373647,19.69838
3.247491,31.64826,8.407678,19.60111
3.353001,34.5561,8.266027,19.52099
3.435387,36.53473,8.158885,19.45935
3.510903,37.77489,8.066183,19.43068
3.58722,38.65936,7.936226,19.43534
3.675233,39.15894,7.827204,19.47465
3.7547,39.48347,7.734195,19.54509
3.827175,39.45886,7.653306,19.64572
3.893531,39.31119,7.581873,19.77619
3.954204,39.05307,7.518228,19.9366
4.00948,38.7063,7.461184,20.11727
4.064195,38.25743,7.403934,20.30711
4.117077,37.77348,7.348381,20.48937
4.169483,37.21422,7.293263,20.67989
4.220414,36.58174,7.239803,20.85694
4.266368,35.88165,7.192059,21.03337
4.305899,35.15189,7.151399,21.21174
4.339324,34.39611,7.117197,21.3925
4.367793,33.61907,7.088068,21.57458
4.392501,32.82293,7.062745,21.75649
4.414287,32.00884,7.040421,21.93728
4.4336,31.17782,7.020689,22.11668
4.442398,30.7563,7.011734,22.20591
4.465446,29.47377,6.988407,22.31469
4.472034,29.04263,6.981783,22.31503
